name,mass (g),year,reclat,reclong,color
Grove Mountains 020941,0.48,2003,-72.983890,75.246390,1
Grove Mountains 021580,0.48,2003,-72.963300,75.217800,1
Grove Mountains 021920,0.48,2003,-72.777500,75.334400,1
Grove Mountains 022088,0.48,2003,-72.779200,75.310600,1
Grove Mountains 022329,0.48,2003,-72.773610,75.320280,1
Grove Mountains 022347,0.48,2003,-72.773330,75.330830,1
Grove Mountains 022467,0.48,2003,-72.773890,75.327780,1
Grove Mountains 022478,0.48,2003,-72.774440,75.322220,1
Grove Mountains 022489,0.48,2003,-72.775600,75.327800,1
Grove Mountains 022502,0.48,2003,-72.774400,75.319200,1
Grove Mountains 022604,0.48,2003,-72.782500,75.281670,1
Grove Mountains 022629,0.48,2003,-72.782500,75.277780,1
Grove Mountains 022850,0.48,2003,-72.773610,75.340830,1
Grove Mountains 022947,0.48,2003,-72.774440,75.322780,1
Grove Mountains 023177,0.48,2003,-72.773900,75.339400,1
Grove Mountains 023299,0.48,2003,-72.773600,75.321100,1
Grove Mountains 023554,0.48,2003,-72.984170,75.246390,1
Grove Mountains 023571,0.48,2003,-72.984170,75.246670,1
Grove Mountains 023783,0.48,2003,-72.984720,75.249440,1
Grove Mountains 024012,0.48,2003,-72.983610,75.252220,1
Grove Mountains 024247,0.48,2003,-72.982500,75.250300,1
MacAlpine Hills 02656,0.48,2002,-84.216670,160.500000,1
Ramlat as Sahmah 406,0.51,2010,20.219050,56.020930,1
Grove Mountains 050137,0.51,2006,-72.978610,75.256940,1
Grove Mountains 050426,0.51,2006,-72.983890,75.245560,1
Grove Mountains 050724,0.51,2006,-72.983890,75.245560,1
Grove Mountains 050726,0.51,2006,-72.983890,75.245560,1
Grove Mountains 051018,0.51,2006,-72.983890,75.245560,1
Grove Mountains 051104,0.51,2006,-72.984170,75.245280,1
Grove Mountains 051236,0.51,2006,-72.983890,75.245560,1
Grove Mountains 052204,0.51,2006,-72.773060,75.338060,1
Grove Mountains 052232,0.51,2006,-72.771110,75.338060,1
Grove Mountains 052338,0.51,2006,-72.778890,75.309720,1
Grove Mountains 052546,0.51,2006,-72.785000,75.294720,1
Grove Mountains 052596,0.51,2006,-72.783110,75.297200,1
Grove Mountains 052753,0.51,2006,-72.785380,75.284400,1
Grove Mountains 052872,0.51,2006,-72.825280,75.353610,1
Grove Mountains 053065,0.51,2006,-72.782780,75.289720,1
Grove Mountains 053184,0.51,2006,-72.774720,75.340000,1
Grove Mountains 053399,0.51,2006,-72.779440,75.298610,1
Grove Mountains 053799,0.51,2006,-72.785000,75.271390,1
Grove Mountains 054027,0.51,2006,-72.790280,75.273060,1
Grove Mountains 054080,0.51,2006,-72.785000,75.283330,1
Grove Mountains 054150,0.51,2006,-72.792780,75.274720,1
Grove Mountains 054274,0.51,2006,-72.781940,75.281110,1
Grove Mountains 054369,0.51,2006,-72.776670,75.330560,1
Grove Mountains 054544,0.51,2006,-72.998890,75.187220,1
Grove Mountains 054871,0.51,2006,-72.998890,75.187220,1
Grove Mountains 054880,0.51,2006,-72.998890,75.187220,1
Grove Mountains 054956,0.51,2006,-72.998890,75.187220,1
Grove Mountains 055157,0.51,2006,-72.998890,75.187200,1
Grove Mountains 054081,0.52,2006,-72.785000,75.283330,1
Grove Mountains 054116,0.52,2006,-72.786670,75.278890,1
Grove Mountains 054555,0.52,2006,-72.998890,75.187220,1
Grove Mountains 054572,0.52,2006,-72.998890,75.187220,1
Grove Mountains 054584,0.52,2006,-72.998890,75.187220,1
Grove Mountains 054604,0.52,2006,-72.998890,75.187200,1
Grove Mountains 054658,0.52,2006,-72.998890,75.187200,1
Grove Mountains 054790,0.52,2006,-72.998890,75.187220,1
Grove Mountains 054791,0.52,2006,-72.998890,75.187220,1
Grove Mountains 054971,0.52,2006,-72.998890,75.187220,1
Grove Mountains 020197,0.52,2003,-72.992500,75.206389,1
Grove Mountains 021843,0.52,2003,-72.778330,75.326110,1
Grove Mountains 021861,0.52,2003,-72.775300,75.336400,1
Grove Mountains 023306,0.52,2003,-72.775000,75.338889,1
Jiddat al Harasis 236,0.54,2005,19.970280,56.398250,1
Grove Mountains 020361,0.54,2003,-72.983900,75.246400,1
Grove Mountains 020821,0.54,2003,-72.983330,75.249440,1
Grove Mountains 020943,0.54,2003,-72.983890,75.246390,1
Grove Mountains 022109,0.54,2003,-72.779170,75.310560,1
Grove Mountains 020171,0.55,2003,-72.976111,75.266389,1
Grove Mountains 020180,0.55,2003,-72.977500,75.264167,1
Grove Mountains 020285,0.55,2003,-72.983900,75.246400,1
Grove Mountains 020823,0.55,2003,-72.983333,75.249444,1
Grove Mountains 021213,0.55,2003,-72.983611,75.245833,1
Grove Mountains 021537,0.55,2003,-72.965600,75.243100,1
Grove Mountains 021622,0.55,2003,-72.783611,75.297500,1
Grove Mountains 021900,0.55,2003,-72.776944,75.323333,1
Grove Mountains 022488,0.55,2003,-72.775000,75.340833,1
Grove Mountains 022552,0.55,2003,-72.773610,75.341110,1
Grove Mountains 022599,0.55,2003,-72.782500,75.280280,1
Grove Mountains 022638,0.55,2003,-72.782780,75.277780,1
Grove Mountains 022650,0.55,2003,-72.781944,75.286389,1
Grove Mountains 022989,0.55,2003,-72.773611,75.343611,1
Grove Mountains 023289,0.55,2003,-72.773610,75.320830,1
Grove Mountains 023298,0.55,2003,-72.773600,75.321100,1
Grove Mountains 023563,0.55,2003,-72.984167,75.246389,1
Grove Mountains 020011,0.55,2002,-73.113330,75.103890,1
MacAlpine Hills 02652,0.55,2002,-84.216670,160.500000,1
Queen Alexandra Range 02178,0.55,2002,-84.000000,168.000000,1
Grove Mountains 020198,0.56,2003,-72.992500,75.206389,1
Grove Mountains 021201,0.56,2003,-72.983611,75.245833,1
Grove Mountains 021520,0.56,2003,-72.953333,75.228056,1
Grove Mountains 021824,0.56,2003,-72.777220,75.338330,1
Grove Mountains 021893,0.56,2003,-72.778056,75.326667,1
Grove Mountains 021905,0.56,2003,-72.776944,75.324722,1
Grove Mountains 021919,0.56,2003,-72.777500,75.334167,1
Grove Mountains 022061,0.56,2003,-72.778610,75.315280,1
Grove Mountains 022365,0.56,2003,-72.781110,75.305000,1
Grove Mountains 022623,0.56,2003,-72.782500,75.277500,1
Grove Mountains 022741,0.56,2003,-72.779200,75.298300,1
Grove Mountains 022982,0.56,2003,-72.773889,75.321944,1
Grove Mountains 022984,0.56,2003,-72.773889,75.322500,1
Grove Mountains 023037,0.56,2003,-72.773330,75.322220,1
Grove Mountains 023046,0.56,2003,-72.773330,75.324720,1
Grove Mountains 023732,0.56,2003,-72.983890,75.251110,1
Grove Mountains 023735,0.56,2003,-72.983890,75.251110,1
Grove Mountains 023780,0.56,2003,-72.984444,75.252500,1
Grove Mountains 024258,0.56,2003,-72.982500,75.250278,1
Grove Mountains 020601,0.59,2003,-72.983889,75.246389,1
Grove Mountains 020802,0.59,2003,-72.983889,75.250000,1
Grove Mountains 021763,0.59,2003,-72.783890,75.308060,1
Grove Mountains 021914,0.59,2003,-72.776944,75.327222,1
Grove Mountains 022004,0.59,2003,-72.776389,75.348333,1
Grove Mountains 022305,0.59,2003,-72.778900,75.301400,1
Grove Mountains 022578,0.59,2003,-72.773300,75.336900,1
Grove Mountains 022619,0.59,2003,-72.782500,75.276940,1
Grove Mountains 022661,0.59,2003,-72.780560,75.286390,1
Grove Mountains 022726,0.59,2003,-72.779170,75.294170,1
Grove Mountains 022946,0.59,2003,-72.774440,75.322780,1
Grove Mountains 023052,0.59,2003,-72.773300,75.326400,1
